,날짜,신문사,제목,분야
52,2024.04.02. 오후 7:27,동아일보,‘송도자이풍경채 그라노블’ 오피스텔 완판… 아파트 정당계약도 시작,경제
53,2024.04.02. 오후 7:26,이데일리,"한미약품 임종윤·임종훈 형제, PEF 손잡고 경영권 굳히나",경제
54,2024.04.02. 오후 7:25,이데일리,지난해 37.6억 연봉 받은 카드·캐피탈 CEO는 누구?,경제
55,2024.04.02. 오후 7:24,한경비즈니스,“다시 삼성전자의 시간이 온다”...깜짝 실적 기대감에 ‘신고가 랠리’,경제
56,2024.04.02. 오후 7:15,TV조선,"4월 위기설? 박상우 장관 ""다양한 대비책 준비해놨다""",경제
57,2024.04.02. 오후 7:14,동아일보,"삼성SDI, ‘스마트그리드엑스포’ 첫 참가… SBB 등 최신 전력저장·공급 솔루션 제시",경제
58,2024.04.02. 오후 7:13,매일경제,"[단독]맥쿼리자산운용, 제뉴원사이언스 품는다···우협선정",경제
59,2024.04.02. 오후 7:10,이데일리,"한화에어로, 인적분할 추진…방산·항공 집중",경제
60,2024.04.02. 오후 7:09,이데일리,태영건설 실사 마무리 수순…출자 전환 등도 검토,경제
61,2024.04.02. 오후 7:06,매일경제,"포스코그룹에 이런 일이…새 회장 첫 인사에 ‘3인방’ 떴다, 대체 누구길래",경제
62,2024.04.02. 오후 7:06,이데일리,"LGU+, 모비릭스와 차량용 게임 개발 맞손",IT
63,2024.04.02. 오후 7:03,한겨레,‘PF 위기설’ 일축한 국토장관 “적은 자기자본 구조는 개선해야”,경제
64,2024.04.02. 오후 7:01,이데일리,마이크론 목표가 올리고 또 올리는 월가…이유보니(영상),경제
65,2024.04.02. 오후 7:00,이데일리,"車보험 무사고 재가입자, 최대 48만원 덜 낸다(종합)",경제
66,2024.04.02. 오후 6:58,이데일리,'코인·금으로 가볼까'…요구불예금 두달새 57조 늘었다,경제
67,2024.04.02. 오후 6:56,한국경제,[포토] 물가 2개월 연속 3%대 상승···정부 '농축산물 할인지원율 확대',경제
68,2024.04.02. 오후 6:56,이데일리,"현대차그룹, KT 1대주주 됐다…이유와 전망은?",IT
69,2024.04.02. 오후 6:54,매일경제,“많이 올랐으니 팔아치우자”...‘이 종목’ 급락에 코스닥 900 와르르,경제
70,2024.04.02. 오후 6:54,동아일보,포스코 ‘장인화 체제’ 첫 인사·조직개편…조직 군살 빼고 여성임원 전진배치,경제
71,2024.04.02. 오후 6:52,한국경제,롯데몰 수원이 품은 '이 브랜드'…사흘만에 2억 넘게 팔았다,경제
72,2024.04.02. 오후 6:49,매일경제,“코스피 올랐는데 나만 왜 이래”...서러운 개미 도대체 뭘 샀나 보니,경제
73,2024.04.02. 오후 6:48,매일경제,300만원짜리 침대 팔아 1등하더니…‘특허’까지 공짜로 풀었다,경제
74,2024.04.02. 오후 6:48,매일경제,"경단협-바다의품, 해군장병 대상 ‘바다 위 경제교육’",경제
75,2024.04.02. 오후 6:45,TV조선,"인천공항공사, '스타트업 육성 사업' 참여 기업 모집",경제
76,2024.04.02. 오후 6:45,조선비즈,"SH공사, 창동역 복합환승센터 설계안 선정…사업 본격화",경제
77,2024.04.02. 오후 6:45,매일경제,가슴에 태극마크 단 고교생 “금메달 꼭 따서 돌아가신 엄마에게 바칠게요”,경제
