,날짜,신문사,제목,분야
416,2024.04.02. 오후 4:34,매일경제,‘창동역 복합환승센터’ 지역 경제·문화 중심지로 개발,경제
417,2024.04.02. 오후 4:33,한국경제TV,"‘파주운정 디에트르’ 단지 내 상가, 이달 5일 3개 호실 공개입찰",경제
418,2024.04.02. 오후 4:32,경향신문,"한화오션, 호주 방산·조선업체 오스탈 인수 추진",경제
419,2024.04.02. 오후 4:31,한국경제TV,"박상우 국토부 장관 ""PF 지원은 연착륙 목적…세금 투입 아냐""",경제
420,2024.04.02. 오후 4:30,한국경제TV,"SH공사, 창동역 복합환승센터 설계안 선정…사업 본격화",경제
421,2024.04.02. 오후 4:30,한국경제TV,"스터디카페 브랜드 작심, 무인 운영 시스템 차별화로 '1인 다점포' 사례 늘려",경제
422,2024.04.02. 오후 4:30,이데일리,"""삼겹살 비싼 이유?"" 공정위, '돼지고기 가격 담합' 목우촌 등 현장조사",경제
423,2024.04.02. 오후 4:29,파이낸셜뉴스,"한화, 호주 방산업체 오스탈 인수 추진…당국 승인이 '핵심 키'",경제
424,2024.04.02. 오후 4:28,한국경제,일본 기업 액면분할 60% '급증'…투자금액 낮춰 증시 띄웠다,경제
425,2024.04.02. 오후 4:28,이데일리,DL이어 신세계까지…실적악화에 건설사 CEO '칼바람',경제
426,2024.04.02. 오후 4:27,한국경제TV,"'먹튀 논란' 잊었나…카카오, 前 카뱅 CTO 임명",경제
427,2024.04.02. 오후 4:27,파이낸셜뉴스,"두산건설, '2024 협력사 신규 등록'.. 건축, 토목 등 68개 공종",경제
428,2024.04.02. 오후 4:25,한국경제,쿠팡에 막히고 알리에 치이고…K커머스 새싹투자 떡잎부터 '뎅강',경제
429,2024.04.02. 오후 4:25,매일경제,‘장인화호’ 첫 조직개편...포스코그룹 경영지원팀장에 이유경 사장,경제
430,2024.04.02. 오후 4:25,이데일리,"[마켓인]LB인베, 10배 이상 성장한 스타트업 7곳…엑시트 성과 기대",경제
431,2024.04.02. 오후 4:23,한국경제TV,"""걸으며 쓰레기 줍는다""…저축은행중앙회 임직원 봉사",경제
432,2024.04.02. 오후 4:23,매일경제,이훈기 롯데케미칼 사장 첫 현장행보…“수익성·안전 강화”,경제
433,2024.04.02. 오후 4:23,이데일리,"코웨이, '2024년 동반성장 데이' 개최",경제
434,2024.04.02. 오후 4:22,매일경제,"삼성SDI, ‘코리아 스마트그리드 엑스포 2024’ 첫 참가",경제
435,2024.04.02. 오후 4:22,조선비즈,[마켓뷰] 외국인의 삼성전자 편애… 하루 만에 1조원 담았다,경제
436,2024.04.02. 오후 4:22,한국경제,"장기 무사고자, 미가입 3년 지나도 자동차보험료 할인받는다",경제
437,2024.04.02. 오후 4:22,이데일리,"삼성·SK 임원들 판교 총출동…""AI시장 선점 위해 협업 확대""",경제
438,2024.04.02. 오후 4:21,동아일보,"정용진, 회장 승진 후 첫 쇄신…신세계건설 대표 경질",경제
439,2024.04.02. 오후 4:20,경향신문,‘환승 고객’ 위한 청년도약플러스적금 출시···뚜껑 열어보니 “아쉽네”,경제
440,2024.04.02. 오후 4:19,파이낸셜뉴스,"현대차, 5년 만에 신용등급 AAA급 회복",경제
441,2024.04.02. 오후 4:18,한경비즈니스,"""역시 게임은 재능의 영역"" 프로게이머가 가지고 있는 이 능력",경제
442,2024.04.02. 오후 4:17,파이낸셜뉴스,"""PF부실·편법대출 겨눈다"" 새마을금고 50여곳 릴레이 공동 검사",경제
443,2024.04.02. 오후 4:17,조선비즈,"박셀바이오, 암 치료제 사용기간 임의 변경해 '임상 일시 정지' 처분받아",경제
444,2024.04.02. 오후 4:17,매일경제,"우산신협, 의료 사각지대 해소용 위한 서비스 차량 기증",사회
445,2024.04.02. 오후 4:17,한경비즈니스,'장인화의 포스코' 철강·2차전지소재 경쟁력 강화…우수 여성인재 전진 배치,경제
446,2024.04.02. 오후 4:17,동아일보,"‘허리띠 졸라맨’ 11번가, 두번째 희망퇴직에 직원 물류센터 전환 배치",경제
447,2024.04.02. 오후 4:16,한국경제,[단독] '밥 대신 먹는 빵' 입소문에 대박…매일유업이 품는다,경제
448,2024.04.02. 오후 4:16,한국경제,"불안정한 부동산 PF시장…""수요진작·구조개선 필요""",경제
449,2024.04.02. 오후 4:16,한경비즈니스,"주방매트·슬리퍼, 잘 보고 사야…일부 제품서 유해물질 검출",경제
450,2024.04.02. 오후 4:15,한국경제,[포토] 효성 떠나는 고 조석래 회장,경제
451,2024.04.02. 오후 4:15,조선비즈,"‘세계 10위 거래소’ 크립토닷컴, 韓 원화마켓 진출 시동",경제
452,2024.04.02. 오후 4:13,한국경제TV,"생성 AI 투닝, 선생님 대상 투닝 웨비나 개최…오픈 30분 만에 신청 마감",경제
453,2024.04.02. 오후 4:12,파이낸셜뉴스,"""C레벨 제재, 천억원 과징금?"" ELS 판매 銀 '책임감면'은 금감원장 재량...銀 전전긍긍",경제
454,2024.04.02. 오후 4:11,한국경제,"환율 1350원도 뚫었다…""이거 어디까지 올라가는 거예요?"" [한경 외환시장 워치]",경제
455,2024.04.02. 오후 4:11,조선비즈,"장인화號, 첫 조직 개편… “조직 슬림화, 컨트롤타워 강화”",경제
456,2024.04.02. 오후 4:11,한국경제,가상자산거래소 사칭한 투자사기 '경보',경제
457,2024.04.02. 오후 4:11,한국경제,"인터넷銀 주담대금리, 시중銀 추월…갈아타기 고민되네",경제
458,2024.04.02. 오후 4:11,한국경제,착오송금 '계좌번호 입력 오류' 최다…금액 등 이체정보 화면 꼭 확인해야,경제
459,2024.04.02. 오후 4:11,한국경제,"과거 병력 등 '알릴 의무' 소홀땐, 보험금 받지 못할 수도",경제
460,2024.04.02. 오후 4:11,한국경제,"""美 올 세 차례 금리인하""…재테크 전략, 어떻게 짤까",경제
461,2024.04.02. 오후 4:10,한국경제,"""이더리움 큰손 매수세""…상승 기대감 커지는 알트코인",경제
462,2024.04.02. 오후 4:10,한국경제,"""신의료기술 치료 주의해야…실손보험금 못 받을 수도""",경제
463,2024.04.02. 오후 4:10,한국경제,"고금리 적금 눈길 끌지만…""최대 이자 받기 만만찮네""",경제
464,2024.04.02. 오후 4:10,중앙일보,간식 할인카드에 장례 서비스까지…펫보험 쟁탈전 더 치열해진다,경제
465,2024.04.02. 오후 4:10,이데일리,"[마켓인]NICE신평, 현대카드 신용등급 ‘AA+’로 상향",경제
466,2024.04.02. 오후 4:09,한국경제,"""신입 연봉 6500만원""…대학도 포기하고 '이 직업'에 몰렸다",경제
467,2024.04.02. 오후 4:09,한국경제,암호화폐 투자 뉴스레터 '코알라' 무료 구독하세요,경제
468,2024.04.02. 오후 4:09,파이낸셜뉴스,90달러 위협하는 유가·9000달러 넘어선 구리...“당분간 강세 지속”,경제
469,2024.04.02. 오후 4:08,파이낸셜뉴스,10년간 세계 자동차상 실적 결산...전기차 앞세운 현대차그룹 '압도적 1위' [FN 모빌리티],경제
470,2024.04.02. 오후 4:08,매일경제,“우물쭈물하다간 다 놓쳐”…오르는 주식 올라탄 ‘이것’ 코스피 3배 상승,경제
471,2024.04.02. 오후 4:08,조선비즈,대원제약 지사제 일부 '미생물 부적합'… 과징금 1억3440만원,경제
472,2024.04.02. 오후 4:07,한국경제TV,"""내가 제일 잘 나가""…대장주의 화려한 귀환",경제
473,2024.04.02. 오후 4:07,TV조선,"공정위, 돼지고기 가격 담합 의혹 육가공 업체 조사",경제
474,2024.04.02. 오후 4:07,이데일리,"SH공사, 창동역 복합환승센터 국제설계공모 당선작 선정",경제
475,2024.04.02. 오후 4:07,이데일리,끝없이 상승하는 환율 1352.1원…5개월여 만에 ‘최고’[외환마감],경제
476,2024.04.02. 오후 4:05,매일경제,“상장 쉽다했더니 뻥튀기였나”...주가 반토막 종목 공통점은,경제
477,2024.04.02. 오후 4:04,파이낸셜뉴스,트위치 철수 한 달...네이버 '치지직' 사용자 1위,IT
478,2024.04.02. 오후 4:04,파이낸셜뉴스,"""전기차 둔화? 정면돌파"" LG엔솔, GM 합작 배터리 2공장 본격 가동",경제
479,2024.04.02. 오후 4:04,한경비즈니스,“전세사기 막는다” 공인중개사 설명의무 강화한 시행령 개정안 의결,경제
480,2024.04.02. 오후 4:03,한국경제,"[마켓칼럼]여의도는 벚꽃의 계절, VC는 상각의 계절",경제
481,2024.04.02. 오후 4:03,이데일리,"RBW, 카카오엔터와 1000억 규모 콘텐츠 유통 계약",경제
482,2024.04.02. 오후 4:03,파이낸셜뉴스,"박상우, ""4월 위기설 과장돼 묘사"" 반박.. PF 시장 질서있게 연착륙",경제
483,2024.04.02. 오후 4:03,한겨레,이상한 밸류업…지배구조 우수기업이라고 회계감사 완화?,경제
484,2024.04.02. 오후 4:01,조선일보,또 사상 최고 찍은 金...돌반지 가격 45만원으로 '껑충',경제
485,2024.04.02. 오후 4:01,조선비즈,박상우 국토부 장관 “병 나으면 약 끊어야… 재건축 규제 풀 것”,경제
486,2024.04.02. 오후 4:01,파이낸셜뉴스,"[fn마감시황] 코스피, 개인·기관 vs 외국인 힘겨루기에 강보합 마감",경제
487,2024.04.02. 오후 4:01,이데일리,"최상목 부총리 ""공공조달 체계 합리화·효율화 위한 '공공조달법' 추진""",경제
488,2024.04.02. 오후 4:00,파이낸셜뉴스,5월 전남 최초 정원형 식물원 산이정원 개장,경제
489,2024.04.02. 오후 3:59,한국경제,"LH, 청년·신혼 등 매입임대주택 3332가구 공급",경제
490,2024.04.02. 오후 3:58,파이낸셜뉴스,"삼성전자 고공행진에도 증시 떠나는 '개미', 한 달간 '7조' 팔았다",경제
491,2024.04.02. 오후 3:56,한국경제,삼성전자 랠리에도 코스피 '게걸음'…코스닥은 2%대 급락,경제
492,2024.04.02. 오후 3:56,한국경제,컬리와 접점 늘리는 CU…주류 예약 구매도 협업,경제
493,2024.04.02. 오후 3:56,매일경제,"‘돈줄’ 5G, 애물단지 되나…‘저가 요금제’ 불티에 이통사 근심 눈덩이",경제
494,2024.04.02. 오후 3:54,파이낸셜뉴스,강동 중심 생활권 ‘더샵 둔촌포레’ 3일까지 정당계약 실시,경제
495,2024.04.02. 오후 3:53,동아일보,"LH, 청년·신혼부부 3332채 매입임대주택 공급",경제
496,2024.04.02. 오후 3:53,이데일리,"포스코그룹, 장인화 회장 취임 후 첫 조직개편·임원인사 단행",경제
497,2024.04.02. 오후 3:52,한국경제,"한국투자증권, TPG 안젤로고든과 부동산투자 협약",경제
498,2024.04.02. 오후 3:52,이데일리,"현대자동차, 나신평으로부터 신용등급 ‘AAA’로 상향",생활
499,2024.04.02. 오후 3:52,이데일리,"롯데건설, 식목일 앞두고 가족과 친환경 텃밭 조성",경제
500,2024.04.02. 오후 3:51,동아일보,던전앤파이터 온라인 발표회 ‘던파로ON’ 개최… “더 재미있는 게임으로 진화할 것”,경제
501,2024.04.02. 오후 3:51,경향신문,“충남 농산물 30분이면 집앞에 배달”…충남도·우아한형제들 상생 협약,경제
502,2024.04.02. 오후 3:51,한겨레,"CEO-직원 연봉격차 더 벌어져…카카오 98배, 이마트 77배",경제
503,2024.04.02. 오후 3:49,한국경제,치솟는 미국 국채 금리에…일학개미 '눈물',경제
504,2024.04.02. 오후 3:49,매일경제,“대구 신산업 한 자리에”···대구 미래혁신기술박람회 10월 개최,사회
505,2024.04.02. 오후 3:49,이데일리,[코스닥 마감]금리 인하 기대감 후퇴에 성장주 약세…890선 '뚝',경제
506,2024.04.02. 오후 3:48,한국경제,"글로벌 코인 거래소 크립토닷컴, 韓 진출 선언…""원화마켓 전환 모색""",경제
507,2024.04.02. 오후 3:46,중앙일보,유통단계 줄이고 계약재배 3배 늘려 금(金)사과 막는다,경제
508,2024.04.02. 오후 3:46,파이낸셜뉴스,"삼성카드, '삼성 iD GLOBAL 카드' 출시",경제
509,2024.04.02. 오후 3:46,한국경제TV,"비테스코 테크놀로지스, 세번째 '지속가능경영 보고서' 발행",경제
510,2024.04.02. 오후 3:44,매일경제,"에이블리, 처음으로 연간 영업이익 흑자...영업이익 33억",경제
511,2024.04.02. 오후 3:43,한국경제,"현대차, 나신평으로부터 신용등급 'AAA' 획득",생활
512,2024.04.02. 오후 3:42,파이낸셜뉴스,"금정구, ‘푸드트럭 예비창업자 교육’ 성료",경제
513,2024.04.02. 오후 3:42,이데일리,"[코스피 마감]외인 '사자'에 2750선…삼성전자, 8만5000원",경제
514,2024.04.02. 오후 3:42,매일경제,LG엔솔·GM 합작 얼티엄셀즈 제2공장 본격 가동,경제
515,2024.04.02. 오후 3:41,매일경제,‘올해의 차’ 휩쓴 현대차·기아…세계 최다 수상 행진,경제
516,2024.04.02. 오후 3:39,조선비즈,"신한은행, 신종자본증권 4000억원 발행",경제
517,2024.04.02. 오후 3:39,경향신문,양문석 대출의 실체는?···‘5억 영수증’ 진위 가린다,정치
518,2024.04.02. 오후 3:38,조선비즈,한미사이언스 첫 이사회 금주 중 개최…대표이사 교체·상속세 해결 방안 논의될 듯,경제
519,2024.04.02. 오후 3:38,이데일리,전영상 한전 감사 “재무위기 극복 위해 스스로 모범 돼야”,경제
520,2024.04.02. 오후 3:36,한경비즈니스,"한류 경험자 10명 중 7명, “K콘텐츠에 홀딱 반했어요”",경제
521,2024.04.02. 오후 3:35,파이낸셜뉴스,"세븐일레븐, 맥주 최저가에 판다...'천원 맥주' 할인 행사",경제
522,2024.04.02. 오후 3:35,이데일리,"마이클 세일러, 마이크로스트래티지 주식 팔았다 (영상)",경제
523,2024.04.02. 오후 3:34,파이낸셜뉴스,"덱스터크레마, 과기부 ‘AI바우처’ 지원사업 공급 맡는다",IT
524,2024.04.02. 오후 3:34,조선비즈,"“인구 절벽·기후 위기 대비해야”…금융위, 미래대응금융 TF 발족",경제
525,2024.04.02. 오후 3:33,한국경제,"롯데호텔앤리조트, 보바스어린이재활센터 후원 협약",경제
526,2024.04.02. 오후 3:31,파이낸셜뉴스,"부산은행, ‘찾아가는 캠퍼스투어’로 미래 고객 확보 나섰다",경제
527,2024.04.02. 오후 3:31,파이낸셜뉴스,"한화에어로, 주력-비주력 사업 재편...인적분할 추진",경제
528,2024.04.02. 오후 3:31,매일경제,"커플 매니저 된 경북도, 미혼남녀 만남 주선 추진",사회
529,2024.04.02. 오후 3:31,매일경제,"주방후드 기름때,  ‘렌가드’ 한 장으로 간단 해결",경제
530,2024.04.02. 오후 3:31,한국경제,"한화에어로스페이스 ""인적분할 검토 중이나 확정 안 돼” [주목 e공시]",경제
531,2024.04.02. 오후 3:31,이데일리,혁신제품 시범구매 확대로 미래 신성장·신산업 육성,경제
532,2024.04.02. 오후 3:30,한국경제TV,"KCGI운용, 공모주하이일드펀드 출시…""최대 10% 우선 배정""",경제
533,2024.04.02. 오후 3:30,이데일리,"휠라, 두산베어스 등 후원 구단·선수와 ‘2024 스포츠 캠페인’ 전개",경제
534,2024.04.02. 오후 3:30,경향신문,유통가에 부는 매서운 칼바람 “나 떨고 있니”,경제
535,2024.04.02. 오후 3:30,매일경제,"“이 가격에, 삼성이 또 해냈다”…웬만한 갤워치 기능 다 담았네",경제
536,2024.04.02. 오후 3:29,파이낸셜뉴스,레저형호텔 '신라스테이 플러스' 제주 이호테우에 다음달 문열어,경제
537,2024.04.02. 오후 3:29,파이낸셜뉴스,"GS리테일, 중소협력사 해외 진출 돕는다...2024 수출 상담회 개최",경제
538,2024.04.02. 오후 3:29,파이낸셜뉴스,"""밀도 높은 환상거품"" 오비맥주 '한맥' 수지와 함께한 새로운 캠페인 공개",경제
539,2024.04.02. 오후 3:28,매일경제,"한국남부발전 안동빛드림본부, 발전소 주변지역 환경정화활동 진행",경제
540,2024.04.02. 오후 3:28,이데일리,"건정연 “2분기 건설시장, 공공은 ‘양호’ 민간은 ‘부진’ 지속”",경제
541,2024.04.02. 오후 3:27,파이낸셜뉴스,"""AI로 해외송금 진행상황 확인하세요"" 하나은행 'AI 해외송금 예측' 서비스 시행",경제
542,2024.04.02. 오후 3:26,한경비즈니스,작곡 심사 1위 알고보니 AI…“이제 뭐 먹고 살아야 하나” AI의 일자리 충격,경제
543,2024.04.02. 오후 3:25,파이낸셜뉴스,"한국씨티은행, '신나는조합' 손 잡고 아동복지시설 청소년 자립 지원",경제
544,2024.04.02. 오후 3:25,중앙일보,"한백에프텍, 신규 공장 설립",경제
545,2024.04.02. 오후 3:24,파이낸셜뉴스,"삼성전자, 밀라노서 '공존의 미래' 전시 선보인다",경제
546,2024.04.02. 오후 3:23,파이낸셜뉴스,"SK스토아 ""품질관리 궁금증은 ‘QA 아카이브' 이용하세요""",경제
547,2024.04.02. 오후 3:22,한경비즈니스,"K투자 열풍, 2024년 1분기 외국인 직접투자 역대 최고 70.5억 달러",경제
548,2024.04.02. 오후 3:21,파이낸셜뉴스,"농협은행 농업·공공금융부문, 영농철 농가 찾아 일손돕기 실시",경제
549,2024.04.02. 오후 3:20,파이낸셜뉴스,"경력 단절 무사고 운전자·장기렌트카 이용자, 자동차보험료 낮아진다",경제
550,2024.04.02. 오후 3:19,파이낸셜뉴스,국내 맥주 시장 새 바람 일으킨 '켈리' 출시 1주년 맞았다,경제
551,2024.04.02. 오후 3:19,파이낸셜뉴스,"국민은행, ‘당신의 골든라이프, 노후준비 콘서트 시즌 3’ 연다",경제
552,2024.04.02. 오후 3:19,파이낸셜뉴스,‘스물셋 우리금융’..임종룡 “최초 넘어 최고로 나아가자”,경제
553,2024.04.02. 오후 3:18,파이낸셜뉴스,"수협은행, 중앙회 창립 62주년 기념 예금 금리인상·연 4.5% 헤이적금 판매",경제
554,2024.04.02. 오후 3:17,한경비즈니스,"""벚꽃나무는 일본산?"" 한국 특산종 '제주왕벚나무'로 여의도 수놓는다",경제
555,2024.04.02. 오후 3:17,이데일리,"우리금융, 창립기념일 비용 줄여 보육원에 돌잔치 선물",경제
556,2024.04.02. 오후 3:15,한국경제TV,'품절대란' VT리들샷…CJ온스타일 진출 [엔터프라이스],경제
557,2024.04.02. 오후 3:15,파이낸셜뉴스,"한국주택협회, 고립은둔청년에 쌀화환 기부",경제
558,2024.04.02. 오후 3:15,파이낸셜뉴스,"금융위, 인구·기후·기술 등 미래 대응 역량 강화...'미래대응금융 TF' 발족",경제
559,2024.04.02. 오후 3:15,매일경제,"“중개형 ISA도 나무에서” 나무증권, 중개형 ISA 이벤트 실시",경제
560,2024.04.02. 오후 3:15,파이낸셜뉴스,"SH공사, 창동역 복합환승센터 설계공모 완료 '사업 본격화'",경제
561,2024.04.02. 오후 3:15,매일경제,“전월세 거래 땐 집주인 세금 체납여부 꼭 확인하세요”,경제
562,2024.04.02. 오후 3:13,이데일리,"“가격은 그대로, 양은 33% 늘려”…농심켈로그, ‘역 슈링크플레이션’ 전략 편다",경제
563,2024.04.02. 오후 3:12,중앙일보,'올해의 차' 휩쓴 현대차그룹 전기차...“2030년 글로벌 톱3 목표”,경제
564,2024.04.02. 오후 3:12,중앙일보,"역대급으로 오른 사과·배…물가 3.1%↑, 두달 연속 ‘3%대’",경제
565,2024.04.02. 오후 3:12,파이낸셜뉴스,반도체 수요·공급기업 함께 'AI 반도체 협업포럼' 출범,경제
566,2024.04.02. 오후 3:12,한경비즈니스,"""5조원 더""…日 정부, 반도체 기업 라피더스에 총 8조 쏜다",경제
567,2024.04.02. 오후 3:12,한국경제TV,"이베이, 1인 무역시대 맞아 해외판매 ‘천하제일 리스팅 대회’ 개최",경제
568,2024.04.02. 오후 3:11,이데일리,"한국은행 “통안계정 7일물 3.50%, 28일물 3.52%에 각각 낙찰”",경제
569,2024.04.02. 오후 3:11,이데일리,법적 분쟁 불씨 남기더라도 의결권 제한한 바이오 주총,IT
570,2024.04.02. 오후 3:10,한국경제TV,"브이엠(구 에이피티씨), 새 대표이사에 임종필 선임… “조직 안정화·영업력 강화”",경제
571,2024.04.02. 오후 3:10,파이낸셜뉴스,"""인천 스타트업 발굴 통해 지역 창업생태계 조성""",경제
572,2024.04.02. 오후 3:10,조선비즈,"신라스테이, 제주 이호테우에 첫 레저형 호텔 개관",경제
573,2024.04.02. 오후 3:08,파이낸셜뉴스,"한전 KDN, 전력IT EMS SW부문 유지관리 수주",경제
574,2024.04.02. 오후 3:08,매일경제,"에코백스, 모서리 물걸레 청소 신제품 ‘디봇 T30 프로 옴니’ 출시",경제
575,2024.04.02. 오후 3:06,파이낸셜뉴스,"""기죽지말고 살아봐...꽃피워봐 참좋아"" 공항이용객 응원 담아",경제
576,2024.04.02. 오후 3:06,파이낸셜뉴스,"롯데웰푸드, 헬스&웰니스 디저트 '제로' 아이스크림 라인업 확대",경제
577,2024.04.02. 오후 3:06,파이낸셜뉴스,"""실적 부진땐 언제든 경질"" 정용진 회장 인적쇄신 시작했다",경제
578,2024.04.02. 오후 3:06,이데일리,공정위원장 “온라인게임 확률형아이템 기만행위시 즉시 엄단”,경제
579,2024.04.02. 오후 3:05,한국경제,조합원이 호구?…서울시내 깜깜이 지주택 사업추진 막힌다,경제
580,2024.04.02. 오후 3:05,한국경제TV,"미운 오리 HDC현산, 증권가 탑픽된 사연",경제
581,2024.04.02. 오후 3:05,중앙일보,"넥시스 디자인 그룹, 이탈리아 럭셔리 리빙 멀티샵 ‘넥시스 엠포리움’ 오픈",경제
582,2024.04.02. 오후 3:03,한국경제TV,"""FDA 승인 획득""…코어라인소프트, 미국 간다 [엔터프라이스]",경제
583,2024.04.02. 오후 3:03,한겨레,"금호건설, 대웅제약 마곡연구소 신축 공사 수주",경제
584,2024.04.02. 오후 3:03,한국경제TV,'사면초가' 철강업계…포스코 '인내의 시간' [엔터프라이스],경제
585,2024.04.02. 오후 3:03,이데일리,"""2026년까지 해고 금지""…일본제철, US스틸 노조에 구애",경제
586,2024.04.02. 오후 3:02,매일경제,"한투證, 글로벌 대체투자 운용사 TPG 안젤로고든과 부동산투자 MOU",경제
587,2024.04.02. 오후 3:01,조선비즈,네이버 사옥에선 로봇 100여대가 택배·도시락 배달,경제
588,2024.04.02. 오후 3:01,매일경제,"누빅스 ‘VCP-X 플랫폼’, 수출 기업 환경규제 대응 솔루션으로 산업계 주목",경제
589,2024.04.02. 오후 3:01,파이낸셜뉴스,"""3분 짜장 이젠 안녕, 모던 차이니즈 차오차이가 왔다""",경제
590,2024.04.02. 오후 3:01,조선비즈,"강원랜드, 2조5000억원 투자… 글로벌 복합리조트로 다시 태어난다",경제
591,2024.04.02. 오후 3:00,파이낸셜뉴스,"""소유진·이동휘 낭독""..신한은행, 창덕궁 후원 오디오가이드 서비스",경제
592,2024.04.02. 오후 3:00,파이낸셜뉴스,"KB국민은행, LG유플러스 손잡고 환전수수료 인하",경제
593,2024.04.02. 오후 3:00,한국경제TV,"""한화에어로스페이스, 인적분할 추진 검토""…주가 '쑥'",경제
594,2024.04.02. 오후 3:00,중앙일보,[월간중앙] 밀착취재 | 코인 사기로 수백억 원 버는 청년들,경제
595,2024.04.02. 오후 2:59,파이낸셜뉴스,"""올해도 돌아왔다"" 신세계푸드 '랜더스데이' 맞아 '추신水' 판매",경제
596,2024.04.02. 오후 2:59,파이낸셜뉴스,"도미노피자, 월드비전 ‘교실에서 찾은 희망’ 캠페인 후원",경제
597,2024.04.02. 오후 2:59,조선비즈,"[특징주] ‘인적분할 추진’ 한화에어로, 사상 최고가",경제
598,2024.04.02. 오후 2:59,파이낸셜뉴스,풀무원 '2024 바릴라 셰프 경연대회 APAC' 참가자 모집,경제
599,2024.04.02. 오후 2:59,파이낸셜뉴스,"맘스터치, 20년 전 감성 그대로 한정판 ‘슈퍼싸이콤보’ 출시",경제
600,2024.04.02. 오후 2:59,한겨레,납품 따낸 중소기업에 ‘동반성장 네트워크론’ 지원,경제
601,2024.04.02. 오후 2:59,파이낸셜뉴스,"KFC, 한국 진출 40주년 기념 '칠리 징거 통다리 버거' 출시",경제
602,2024.04.02. 오후 2:58,한국경제,"""세계 최초""…화웨이, 두 번 접는 '트리폴드폰' 출시설 [영상]",경제
603,2024.04.02. 오후 2:58,파이낸셜뉴스,"롯데GRS, 송파구 삼전동 신사옥 이전하고 제 2발전 도약",경제
604,2024.04.02. 오후 2:58,조선비즈,"車보험 경력 단절된 무사고자, 재가입 시 보험료 48만원 싸진다",경제
605,2024.04.02. 오후 2:58,이데일리,전국 76개 기초지자체 대형마트 평일 쉰다…민생과제 점검,경제
606,2024.04.02. 오후 2:57,한국경제,[단독] 힐튼호텔 문화재 심의 통과…서울역 일대 '천지개벽',경제
607,2024.04.02. 오후 2:56,매일경제,"동학개미 “모처럼 달리는 코스피, 더 간다?”…빚투 규모 20조 육박",경제
608,2024.04.02. 오후 2:56,이데일리,"산은, 고객맞춤형 친 선박금융 펀드 출시",경제
609,2024.04.02. 오후 2:55,한겨레,‘열폭주’ 전기차 배터리팩 2분 만에 뚫는다…화재진압 시스템 선봬,경제
610,2024.04.02. 오후 2:55,한국경제,"신한은행, 신종자본증권 4000억 발행 성공",경제
611,2024.04.02. 오후 2:55,매일경제,“저 못 믿으세요? 도장 찍으시죠”…전세사기 막기 위해 ‘이것’ 필수된다,경제
612,2024.04.02. 오후 2:55,매일경제,"‘10돌’ 신라스테이, 제주 이호테우에 첫번째 레저형 호텔 5월 개관",생활
613,2024.04.02. 오후 2:54,한국경제,"박셀바이오, 세포치료제 사용기한 미준수로 약사법 위반 행정처분",IT
614,2024.04.02. 오후 2:53,TV조선,"""밸류업 우수 기업에 8종 인센티브…감사인 지정 면제""",경제
615,2024.04.02. 오후 2:53,TV조선,"급증하는 마약밀수, 글로벌 연대로 돌파구",경제
616,2024.04.02. 오후 2:53,TV조선,"금융위, '인구·기후·기술' 분야별 미래대응금융 TF 신설",경제
617,2024.04.02. 오후 2:53,매일경제,"KT&G; 상상마당, 공연 공간 지원 ‘퍼포먼스 챌린지’ 최종 선정작 발표",경제
618,2024.04.02. 오후 2:52,한국경제TV,"두산건설, 2024년도 협력사 신규 등록 진행",경제
619,2024.04.02. 오후 2:52,한국경제TV,"홀가 게어만 대표 ""신형 파나메라로 국내 판매 끌어올릴 것""",경제
620,2024.04.02. 오후 2:52,한국경제TV,"네이버 '치지직', 아프리카TV 제치고 1위 등극",경제
621,2024.04.02. 오후 2:52,매일경제,"하나투어, 6주간 특별 마일리지 행사…1000만원 상당 경품 제공",생활
622,2024.04.02. 오후 2:51,파이낸셜뉴스,"방탄소년단·스트레이 키즈·뉴진스, 美 음악 시상식서 수상",생활
623,2024.04.02. 오후 2:51,이데일리,"[특징주]“인적분할 검토”…한화에어로스페이스, 52주 신고가",경제
624,2024.04.02. 오후 2:50,매일경제,흥국화재 고객이라면…치매·간병 보험료 납입 어려울땐 ‘납입유예’신청하세요,경제
625,2024.04.02. 오후 2:49,조선비즈,"[특징주] 삼천당제약, 18% 급락… “美 특허소송 등 사실무근”",경제
626,2024.04.02. 오후 2:49,매일경제,"Sh수협은행, 중앙회 창립 기념 연 최고 4.5% 적금 3만좌 선착순 판매",경제
627,2024.04.02. 오후 2:48,동아일보,"롯데이노베이트, 사명 선포식 진행… “글로벌 혁신 기업으로 도약의 시작”",경제
628,2024.04.02. 오후 2:44,파이낸셜뉴스,"박순연 농식품부 정책관 ""이달부터 농산물 물가 빠르게 개선...대체과일 출하""",경제
629,2024.04.02. 오후 2:43,동아일보,"디엠씨코넷, 서울시 뉴딜일자리 사업 ‘메타버스 XR 개발자 취업연계과정’ 교육생 모집",경제
630,2024.04.02. 오후 2:42,파이낸셜뉴스,"지오릿에너지, 폐수서 리튬추출 첫 파트너로 글로벌 기업 낙점",경제
631,2024.04.02. 오후 2:41,한경비즈니스,"샤오미, 가성비 전기차 ‘SU7’ 돌풍에 주가도 급등…‘가장 큰 피해’는 누구?",경제
632,2024.04.02. 오후 2:39,매일경제,"한화오션, 1조 3000억 규모 LNG운반선 4척 추가 수주",경제
633,2024.04.02. 오후 2:39,한국경제,"""빠르고 안전하다""…실수요자들, 선시공 아파트 찾는 이유",경제
