,Unnamed: 0,날짜,신문사,제목,분야
13,13,2024.10.03. 오후 9:02,경향신문,"현대백화점, 올해 채취 ‘자연송이’ 시판[포토뉴스]",경제
14,14,2024.10.03. 오후 9:02,경향신문,배추·무 등 채소값 급등세 여전…작황 호전 과일값은 안정세,경제
15,15,2024.10.03. 오후 9:02,경향신문,"‘10g 당 ○○원’ 마트식 단위가격 표시, 온라인 쇼핑몰도 의무화",경제
16,16,2024.10.03. 오후 9:02,경향신문,"3년 새 분양가 껑충…사전청약 당첨자, 절반 계약 포기",경제
17,17,2024.10.03. 오후 9:02,경향신문,집값 담합에 편법 증여까지 위법 의심 주택거래 397건 적발,경제
18,18,2024.10.03. 오후 9:00,중앙일보,"'6만전자' 불안한 당신, 지금 당장 돈 벌려면 이 종목 보라",경제
19,19,2024.10.03. 오후 8:45,경향신문,8월 소비 반등했지만…지방은 올해 내내 ‘부진’,경제
20,20,2024.10.03. 오후 8:42,매일경제,"“얼마까지 알아보고 오셨어요?”…마트, 이번엔 횟감으로 경쟁 붙었다는데",경제
21,21,2024.10.03. 오후 8:40,경향신문,"LG전자, 무선 스피커 ‘엑스붐’과 함께하는 ‘붐붐파우 페스타’[포토뉴스]",경제
22,22,2024.10.03. 오후 8:40,경향신문,다 같은 사과가 아닙니다[포토뉴스],경제
23,23,2024.10.03. 오후 8:32,경향신문,현대모비스에서 인간의 뇌도 연구한다?,경제
24,24,2024.10.03. 오후 8:31,경향신문,가상자산 10억원 초과 보유자 3759명,경제
25,25,2024.10.03. 오후 8:31,동아일보,"MBK, 영풍정밀 공개매수가 3만원으로 상향…최윤범 회장 측 공개매수에 대응",경제
26,26,2024.10.03. 오후 8:31,경향신문,"HD현대중, 수출형 ‘K잠수함’ 성능 입증",경제
27,27,2024.10.03. 오후 8:29,경향신문,“멀쩡하던 스마트폰이 벽돌 됐다”…구형 갤럭시폰 ‘무한 부팅’ 대란,경제
28,28,2024.10.03. 오후 8:27,경향신문,"공정위원장 “배달앱-업체 상생, 10월 내 협의안 도출이 목표”",경제
29,29,2024.10.03. 오후 8:26,경향신문,배민의 배신…‘원산지 표시 위반’ 배달앱 최다 불명예,경제
30,30,2024.10.03. 오후 8:17,파이낸셜뉴스,"이재용·정의선, 尹 싱가포르 경제사절단 동행",경제
31,31,2024.10.03. 오후 8:13,파이낸셜뉴스,[fn마켓워치] MBK도 '맞불'...영풍정밀 공개매수가 3만원으로 인상,경제
32,32,2024.10.03. 오후 8:13,경향신문,"“방제 7번 해도 안 돼, 이런 경우 처음”…중국서 벼멸구 유입에 농민들 ‘시름’",경제
33,33,2024.10.03. 오후 8:12,경향신문,추어탕 주문 10분 만에…드론 배달 ‘척척’,경제
34,34,2024.10.03. 오후 8:12,경향신문,‘충북 화장품을 세계로’…오송 화장품 뷰티 산업 엑스포 열린다,경제
35,35,2024.10.03. 오후 8:05,이데일리,MBK “자사주 공개매수 위법”…영풍정밀 공개매수가 3만원으로[마켓인],경제
36,36,2024.10.03. 오후 7:53,이데일리,"구글 CEO ""AI 데이터센터 거점서 원전 활용 검토""",경제
37,37,2024.10.03. 오후 7:46,경향신문,"“집 없으면 못사는데, 집 때문에 못 살겠다”…취약계층 주거권 보장 요구 외침들",사회
38,38,2024.10.03. 오후 7:43,매일경제,"“잘 쓰던 갤럭시가 갑자기 무한 재부팅을”...삼성전자, 앱 업데이트 오류, 뭐길래",경제
39,39,2024.10.03. 오후 7:41,조선비즈,"이재용·정의선, 경제사절단으로 다음주 싱가포르 방문",경제
40,40,2024.10.03. 오후 7:33,파이낸셜뉴스,"영풍·MBK ""고려아연 자사주 공개매수는 위법...즉각 중단해야""",경제
41,41,2024.10.03. 오후 7:32,이데일리,“금리 올릴 때 아냐”…이시바 한마디에 주가 오르고 엔화 내리고,경제
42,42,2024.10.03. 오후 7:31,경향신문,인천 소청도 특정해역서 불법조업한 중국어선 2척 나포,정치
43,43,2024.10.03. 오후 7:30,한겨레,쿠팡도 고가 화장품 판다...제조사 “경쟁 과열 우려”,경제
0,0,2024.10.04. 오후 10:36,매일경제,‘010 번호 언제까지 쓸 수 있나’…2032년 수요 최대치,경제
1,1,2024.10.04. 오후 10:31,이데일리,"""美고용침체 우려는 과장""…11월 '빅컷' 가능성 사라져(종합)",경제
2,2,2024.10.04. 오후 10:29,매일경제,"“우리나라 개미 절반은 울겠네” …내년도 흐린 삼성전자, 목표가 줄하향",경제
3,3,2024.10.04. 오후 10:24,중앙일보,미국 '고용 서프라이즈' 예상치 웃돈 25만명…'베이비 컷' 탄력,경제
4,4,2024.10.04. 오후 10:23,매일경제,"“결연히 반대, 필요한 모든 조치”…中, EU 전기차 관세에 반발",경제
5,5,2024.10.04. 오후 10:06,매일경제,“기름 미리 넣어야되나”…중동 화약고 터지자 국제유가 또 불안불안,경제
6,6,2024.10.04. 오후 10:03,이데일리,美고용 침체 없다…9월 일자리 25.4만개↑·실업률 4.1%(상보),경제
7,7,2024.10.04. 오후 9:50,조선일보,미국 9월 신규 일자리 수 25만개... 예상 뛰어넘는 증가,경제
8,8,2024.10.04. 오후 9:44,이데일리,美 9월 고용 '서프라이즈'…2년물 국채금리 14.5bp↑,경제
9,9,2024.10.04. 오후 9:40,TV조선,고려아연 경영권 분쟁 '연장전'…영풍·MBK 공개매수가 인상,경제
10,10,2024.10.04. 오후 9:39,동아일보,"론진, ‘플래그십 헤리티지 문페이즈’ 신제품 3종 출시… “클래식 라인 기함중의 기함”",생활
11,11,2024.10.04. 오후 9:38,TV조선,민주당 '금투세 유예'로 가닥…증시 저평가 해소되나?,경제
12,12,2024.10.04. 오후 9:34,TV조선,美 축구장에 등장한 '라면 카페'…K푸드 수출 '역대 최대',경제
13,13,2024.10.04. 오후 9:32,이데일리,[속보]美9월 비농업일자리 25.4만개↑ '서프라이즈'…실업률도 4.1%,경제
14,14,2024.10.04. 오후 9:30,매일경제,"“한국이 만만했나”…해외선 잘내는 구글·애플, 국내 과징금 4000억 불복",경제
15,15,2024.10.04. 오후 9:15,TV조선,"377일 무단 결근했는데도 8000만 원 지급…LH, 근태관리 '엉망'",경제
16,16,2024.10.04. 오후 8:38,매일경제,입사지원서만 내도 구직활동 인정…허술한 규정에 실업급여 반복수급 12만명,경제
17,17,2024.10.04. 오후 8:32,이데일리,"엔지켐생명과학, 'EC-18' 위장관계 급성방사선증후군 치료 효능 입증",경제
18,18,2024.10.04. 오후 8:20,파이낸셜뉴스,"LG CNS, 코스피 상장 예비 심사 신청",경제
19,19,2024.10.04. 오후 8:17,매일경제,"“저 로보택시, 많이 보던 차네”…구글 자율차 아이오닉5로 만든다",경제
20,20,2024.10.04. 오후 8:00,이데일리,[인사]기획재정부,경제
21,21,2024.10.04. 오후 7:51,한국경제,"""한 줄에 8000원 vs 1000원""…인기 폭발한 '김밥집' 비밀 [현장+]",경제
0,0,2024.10.05. 오후 9:01,한국경제,"""앨범이 안팔린다"" 비상…'하이브·JYP·SM·YG' 마지막 한방은? [연계소문]",경제
1,1,2024.10.05. 오후 9:00,중앙일보,옛 적국 베트남까지 홀렸다…우크라전서 뜬 K방산 정체,경제
2,2,2024.10.05. 오후 8:49,한경비즈니스,"""새벽 3시 만취 운전하다 '쿵'""...‘문재인 딸’ 다혜씨, 음주운전 적발",경제
3,3,2024.10.05. 오후 8:30,매일경제,“5년간 750만점 넘는 가품 발생”…중고 명품 플랫폼 살아남기 경쟁,경제
4,4,2024.10.05. 오후 7:52,한국경제,"곧 경기침체 온다는데…""지금 사야"" 돈 벌 종목은? [한경우의 케이스스터디]",경제
5,5,2024.10.05. 오후 7:29,TV조선,"MBK, 3주만에 공개매수가 25%↑…고려아연, 추가인상 맞불?",경제
6,6,2024.10.05. 오후 7:28,TV조선,美 고용 호조에 물 건너간 '빅컷'…셈법 복잡해진 한은,경제
7,7,2024.10.05. 오후 7:15,한경비즈니스,"두산밥캣, 4년전 매각한 모트롤 2421억원에 되찾았다",경제
8,8,2024.10.05. 오후 7:07,한경비즈니스,"""한국보다 일본이 더 싫다""...의외의 결과네",경제
9,9,2024.10.05. 오후 7:04,매일경제,"반도체 겨울오나, 갈수록 낮아지네…삼성전자 3분기 잠정실적에 쏠리는 눈",경제
10,10,2024.10.05. 오후 6:57,한국경제,"발표하자마자 '수직상승'…""이제는 중국이다"" 우르르",경제
11,11,2024.10.05. 오후 6:52,한경비즈니스,"“현대차 위상, 이 정도였어?”...기업가치 26조, ‘인도 증시’ 접수",경제
