,Unnamed: 0,날짜,신문사,제목,분야
10,10,2024.10.12. 오후 6:48,한경비즈니스,잇몸 이식에 대하여 [김현종의 백세 건치],경제
11,11,2024.10.12. 오후 6:48,한경비즈니스,서울 집값 4.5% 떨어졌다는 통계의 진실[아기곰의 부동산 산책],경제
12,12,2024.10.12. 오후 6:46,한경비즈니스,"한국전력, 전기료 인상 가능성 높은 네 가지 이유",경제
13,13,2024.10.12. 오후 6:44,경향신문,"MBK “고려아연, 자사주 공개매수로 6년 뒤 부채비율 245% 전망”",경제
14,14,2024.10.12. 오후 6:40,한국경제,"""청약자 몰리던 아파트가 어쩌다…"" 뜻밖의 결과에 '술렁'",경제
15,15,2024.10.12. 오후 6:36,한경비즈니스,‘흑백요리사’ 열풍에 담긴 계급 코드와 흥행 전략[김희경의 컬처 인사이트],경제
16,16,2024.10.12. 오후 6:32,한경비즈니스,'산부인과' 사라지고 '동물병원' 생긴다...세계에서 가장 외로운 '한국',경제
17,17,2024.10.12. 오후 6:20,한국경제,"순두부젤라또에서 모찌붕어빵·수제청까지…먹거리도 풍성 [2024 청춘, 커피 페스티벌]",경제
18,18,2024.10.12. 오후 6:01,동아일보,[부고]윤명옥 GM한국사업장 CMO(커뮤니케이션 총괄) 부친상,사회
19,19,2024.10.12. 오후 5:58,한국경제,배우자 등에게 증여받고 10년 내 양도 시 주의하세요 [김수정의 절세노트],경제
20,20,2024.10.12. 오후 5:58,매일경제,미워도 다시 한번?…4개 기업 몰린 ‘공모주 슈퍼위크’ 뭐살까,경제
21,21,2024.10.12. 오후 5:53,한국경제,"""QWER, 좋아해!""…전날 밤부터 오픈런 대기줄까지 [2024 청춘, 커피 페스티벌]",경제
22,22,2024.10.12. 오후 5:45,이데일리,조정 국면 맞은 고용시장…제조·건설업 부진 개선될까[기재부 주간예보],경제
23,23,2024.10.12. 오후 5:40,TV조선,"보쉬 전동공구, 유선 앵글 그라인더 출시",경제
24,24,2024.10.12. 오후 5:28,한국경제,"""클림트가 한국에 온다고?""…韓 찾는 '거장' 전시, 청커페서 눈길[2024 청춘, 커피 페스티벌]",경제
25,25,2024.10.12. 오후 5:24,매일경제,K산업의 미래가 달려있다…재벌과 사모펀드연합이 벌이는 ‘쩐의 전쟁’ 무슨 사연이 [나기자의 데이터로 세상읽기],경제
26,26,2024.10.12. 오후 5:20,TV조선,용산어린이정원에서 아트페스티벌 13일까지 열려,경제
27,27,2024.10.12. 오후 5:16,한경비즈니스,"이혼소송 재산분할, 기여도만큼 중요한 부동산 시가[박효정의 똑똑한 감정평가]",경제
28,28,2024.10.12. 오후 5:10,TV조선,"미리 보는 공정위 국감, 배민·벤츠·구글·애플·하이브 등 증인 채택",경제
29,29,2024.10.12. 오후 5:10,한경비즈니스,"""3억 줄테니 나가다오""...늙어가는 기업들 '특단 조치'",경제
30,30,2024.10.12. 오후 5:00,파이낸셜뉴스,"미국 보잉, 직원 10% 구조조정...1.7만명 규모",경제
31,31,2024.10.12. 오후 4:54,TV조선,"""송리단길서 '옥토버페스트'""…BBQ 빌리지, 이달말까지 개최",경제
32,32,2024.10.12. 오후 4:50,TV조선,최태원 차녀 결혼식…이재용 등 재계 총수 총출동할 듯,경제
33,33,2024.10.12. 오후 4:48,한겨레,오는 13일 최태원 회장 딸 결혼식…이재용·정의선 등 재계 총출동 전망,경제
34,34,2024.10.12. 오후 4:47,TV조선,주유소 기름값 11주 연속 내림세…하락 폭 둔화,경제
35,35,2024.10.12. 오후 4:47,이데일리,비만인구 수억명에게 한줄기 희망?…일라이릴리 中공장 증설,경제
36,36,2024.10.12. 오후 4:39,한국경제,"무대서 생일 축하 받은 '9001', 50분간 10곡 열창 [2024 청춘, 커피 페스티벌]",경제
37,37,2024.10.12. 오후 4:18,한국경제,"""지금 사야 돈 번다""…금리 인하에 '재테크족' 몰리는 곳",경제
38,38,2024.10.12. 오후 4:16,한국경제,"""커피는 무조건 아메리카노?""…'청커페 MCTI'로 취향 찾아보세요 [2024 청춘, 커피 페스티벌]",경제
39,39,2024.10.12. 오후 4:16,파이낸셜뉴스,배달수수료 논쟁 우아하고 침착하게 톺아보기 [이환주의 생생유통],경제
40,40,2024.10.12. 오후 4:15,한국경제,"성수베이글에 뚱바라떼까지…편의점 인기템 모았다 [2024 청춘, 커피 페스티벌]",경제
41,41,2024.10.12. 오후 4:15,한경비즈니스,"""퇴직 후 생활이 어려워서""...국민연금 당겨쓴 노인 '역대 최다'",경제
42,42,2024.10.12. 오후 4:14,한국경제,"""1시간 만에 500개 나갔다""…우유 못먹어도 OK [2024 청춘, 커피 페스티벌]",경제
43,43,2024.10.12. 오후 4:07,TV조선,이재용 삼성전자 회장 귀국…반도체 위기설에 '침묵',경제
44,44,2024.10.12. 오후 4:02,파이낸셜뉴스,"'일장중몽(一場中夢)', 한바탕 꿈처럼 헛된 중국 주식 [이환주의 개미지옥]",경제
45,45,2024.10.12. 오후 3:57,한국경제,"무료 커피에 다양한 경품까지…엔제리너스 부스 '북적' [2024 청춘, 커피 페스티벌]",경제
46,46,2024.10.12. 오후 3:38,한국경제,"이걸 커피콩으로 그렸다고?…수만개 원두로 만든 작품 [2024 청춘, 커피 페스티벌]",경제
47,47,2024.10.12. 오후 3:36,이데일리,"""서로 우리가 유리""…고려아연 공개매수 세금효과 두고 갑론을박[마켓인]",경제
48,48,2024.10.12. 오후 3:26,매일경제,“방금 또 추락할 뻔”…모의 비행훈련 직접 해보니 ‘아찔’ [체험기],경제
49,49,2024.10.12. 오후 3:20,한국경제,"""인기 짱 코코 솜사탕 받아가세요""... 아이들과 오기 좋은 이곳 [2024 청춘, 커피 페스티벌]",경제
50,50,2024.10.12. 오후 3:11,이데일리,"‘앙꼬 없는 찐빵’ 中 정부 지출 대책, 이달말 후속 조치 주목",경제
51,51,2024.10.12. 오후 3:10,한국경제,"변우석이 마시는 콤부차 마실까?…50분 만에 250잔 이디야커피 행사 '불티' [2024 청춘, 커피 페스티벌]",경제
52,52,2024.10.12. 오후 3:06,한국경제TV,"신한투자증권, 1300억 규모 'ETF 운용 손실'…""내부 감사 중""",경제
53,53,2024.10.12. 오후 3:00,TV조선,테슬라 '로보택시' 실망감에 폭락…시총 670억달러 날려,경제
54,54,2024.10.12. 오후 3:00,파이낸셜뉴스,"윤 정부 2년, 집값 12% 폭락했는데...“옆집 동네는” 한숨 [부동산 아토즈]",경제
0,0,2024.10.13. 오후 10:03,한국경제TV,겨울 앞두고 난방상품 할인 나섰다,경제
1,1,2024.10.13. 오후 9:57,한국경제TV,부채만 200조…불붙는 전기요금 현실화,경제
2,2,2024.10.13. 오후 9:45,한국경제TV,화성우주선 날린 스페이스X…수직 착륙 성공,경제
3,3,2024.10.13. 오후 9:45,매일경제,아는 사람만 갈 수 있는 ‘포차’ 있다고?…롯데월드서 쓰는 KT 멤버십 쏠쏠하네 [르포],경제
4,4,2024.10.13. 오후 9:12,동아일보,"포스코퓨처엠, 포항 NCA 양극재 전용공장 가동… 고부가 양극재 3종 양산체제 구축",경제
5,5,2024.10.13. 오후 8:59,경향신문,‘바지락 무덤’ 된 서산 가로림만,경제
6,6,2024.10.13. 오후 8:53,매일경제,미국으로 옮겨서도 간 큰 개미들…레버리지 몰빵,경제
7,7,2024.10.13. 오후 8:47,한국경제TV,초판 사인본 70만원 '웃돈',경제
8,8,2024.10.13. 오후 8:38,경향신문,완연한 가을…농협하나로마트에 도착한 ‘청도 반시’[포토뉴스],경제
9,9,2024.10.13. 오후 8:38,경향신문,KT ‘AI와 함께하는 캠핑’…‘AI 로봇 강아지’ 아이들에게 인기 독차지[포토뉴스],경제
10,10,2024.10.13. 오후 8:30,경향신문,"차녀 결혼식 혼주석에 나란히…최태원·노소영, 이혼 후 첫 대면",경제
11,11,2024.10.13. 오후 8:29,경향신문,녹색기후기금 고위직에 ‘첫 한국인’ 김현정,경제
12,12,2024.10.13. 오후 8:28,경향신문,서울 비빔밥 한 그릇 1만1000원 넘었다,경제
13,13,2024.10.13. 오후 8:27,조선비즈,"고려아연·영풍, ‘전격 회동’ 소식에 “사실무근”",경제
14,14,2024.10.13. 오후 8:25,경향신문,"뜨거워진 바다, 수산자원 감소 심각한데…‘속수무책’ 어민들",경제
15,15,2024.10.13. 오후 8:25,경향신문,"교촌치킨, 튀김유 납품 마진 ‘0원’…협력사는 7억원대 손해",경제
16,16,2024.10.13. 오후 8:25,경향신문,한은 제안 ‘상위권 대학 지역별 비례선발제’에…SKY는 물론 정부도 ‘부정적’,경제
17,17,2024.10.13. 오후 8:22,경향신문,차량 앞유리 전체 디스플레이로 활용,경제
18,18,2024.10.13. 오후 8:21,매일경제,“국민연금 차라리 폐지합시다”…20대 청년들이 이렇게 생각하는 이유,경제
19,19,2024.10.13. 오후 8:19,경향신문,"엔비디아 차세대 AI 칩 ‘블랙웰’, 본격 양산도 전에 1년치 ‘완판’",경제
20,20,2024.10.13. 오후 8:19,경향신문,취임 4주년…정의선 회장이 바꿔 놓은 현대차·기아,경제
21,21,2024.10.13. 오후 8:18,동아일보,"“車 유리를 고화질 디스플레이로”… 현대모비스, 독일 ‘자이스’와 기술 개발·사업 협력",경제
22,22,2024.10.13. 오후 8:14,파이낸셜뉴스,"에어부산, 발리노선  첫 취항 '특가' 떴다",경제
23,23,2024.10.13. 오후 8:03,경향신문,기준금리 내렸으니 대출 이자도?…“내년은 돼야 체감”,경제
24,24,2024.10.13. 오후 8:02,경향신문,"금융당국, 전세·정책대출 ‘DSR 적용’ 검토…대출 더 조인다",경제
25,25,2024.10.13. 오후 8:02,경향신문,이르면 내년 1월 금리 추가 인하…“분기당 0.25%P씩 내릴 듯”,경제
26,26,2024.10.13. 오후 7:45,한경비즈니스,“청약만 기다릴 수 없어” 상반기 복권 판매액 약 3조6000억원,경제
27,27,2024.10.13. 오후 7:38,파이낸셜뉴스,"""전세계 2억6500만명이 시청한 오겜… 韓기업과 콘텐츠 상품 협업"" [인터뷰]",경제
28,28,2024.10.13. 오후 7:38,파이낸셜뉴스,"현실판 오겜, 뉴요커 3만여명 줄세웠다 [현장르포]",경제
29,29,2024.10.13. 오후 7:34,파이낸셜뉴스,최태원·노소영 나란히 혼주석에… 재계 총수들도 한자리,경제
30,30,2024.10.13. 오후 7:33,파이낸셜뉴스,美 대선 누가되든 달러 패권 변함없어... '달러 연금보험' 안정적 투자처 될 것 [fn 이사람],경제
31,31,2024.10.13. 오후 7:26,TV조선,1.2만 세대 입주 앞뒀는데 전세가는 '고공행진'…서울 전세 가뭄 내년이 더 심각,경제
32,32,2024.10.13. 오후 7:24,TV조선,스마트오더 주류 주문은 신분증 프리패스?…직접 해보니,경제
33,33,2024.10.13. 오후 7:23,파이낸셜뉴스,고려아연이냐 MBK냐... 세금계산 분주한 개미,경제
34,34,2024.10.13. 오후 7:22,TV조선,"""연두색 번호판 싫다""…다운 계약·보험 바꿔치기 '꼼수' 만연",경제
35,35,2024.10.13. 오후 7:21,TV조선,"최태원·노소영, 이혼 후 첫만남…차녀 결혼식서 나란히 혼주석에",경제
36,36,2024.10.13. 오후 7:19,한경비즈니스,父 최태원 손 잡고 신부 입장 안해…SK 3세 '파격 결혼식',경제
37,37,2024.10.13. 오후 7:18,파이낸셜뉴스,은행 주담대 금리는 인상... 전방위 '가계대출 조이기',경제
38,38,2024.10.13. 오후 7:17,파이낸셜뉴스,금리 낮아지면 자금조달 숨통… 바이오·리츠 관련株 훈풍 [한국도 긴축 마무리],경제
39,39,2024.10.13. 오후 7:15,파이낸셜뉴스,"""글로벌 車업계 리더""… 완성차 빅2 도전하는 '혁신 리더십' [정의선 4년, 확 바꾼 현대차그룹]",경제
40,40,2024.10.13. 오후 7:15,파이낸셜뉴스,'의결권 확보' 수싸움 치열… 장기전 가나,경제
41,41,2024.10.13. 오후 7:15,파이낸셜뉴스,"'종부세 폐지' 하루 수천명 서명운동... 들끓는 여론, 합헌 뒤집기 성공할까",경제
42,42,2024.10.13. 오후 7:14,매일경제,[단독] “요즘 누가 이 차 타요”…판매량 뚝 떨어지고 충전소도 안보이네,경제
43,43,2024.10.13. 오후 7:08,파이낸셜뉴스,"의약·공학 취업률 최고, 인문 최저... 중장년층선 경영·행정이 임금 1위",경제
44,44,2024.10.13. 오후 7:08,파이낸셜뉴스,"""내수 부양"" 금리 내린 한은… 가계 빚·대외불안 등 암초 산적",경제
45,45,2024.10.13. 오후 7:08,파이낸셜뉴스,"폭염 피해 배 농가 방문… ""지원책 강구""",경제
46,46,2024.10.13. 오후 7:08,이데일리,"[포토] 룰루레몬, ""함께 더 큰 성장을 이뤄요""",경제
47,47,2024.10.13. 오후 7:07,이데일리,"이란 외무부 ""미국의 추가 제재는 부당""…강력 반발",경제
48,48,2024.10.13. 오후 7:06,이데일리,"[포토] 룰루레몬, 정신건강의 날 이벤트",경제
49,49,2024.10.13. 오후 7:05,한국경제TV,"日서도 다 팔렸다…""국경 넘은 보편성""",경제
50,50,2024.10.13. 오후 7:04,파이낸셜뉴스,SK텔·삼성생명·셀트리온 등 실적 호재 [株슐랭가이드],경제
51,51,2024.10.13. 오후 7:04,파이낸셜뉴스,"더 늦기전에 내집 마련하려는 30대 직장인 ""세금은 얼마나 될까요"" [세무 재테크 Q&A;]",경제
52,52,2024.10.13. 오후 7:04,파이낸셜뉴스,인도 1등기업 타타그룹 투자… IT·소비재·인프라 동시 공략 [이런 펀드 어때요?],경제
53,53,2024.10.13. 오후 7:04,파이낸셜뉴스,G2 경기지표·중동리스크 변수... 18일 테슬라 실적발표 눈쏠려 [주간 증시 전망],경제
54,54,2024.10.13. 오후 6:56,파이낸셜뉴스,증시 발목 잡는 삼성전자… 외국인 23거래일째 팔았다,경제
55,55,2024.10.13. 오후 6:56,파이낸셜뉴스,디큐브시티 오피스1·2 매물로,경제
56,56,2024.10.13. 오후 6:56,이데일리,"[포토] 농협유통, '청도 반시' 선보여..",경제
57,57,2024.10.13. 오후 6:55,파이낸셜뉴스,메자닌 조기상환 쏟아지는 제약·바이오 기업,경제
58,58,2024.10.13. 오후 6:55,파이낸셜뉴스,찬바람 불면 배당주… 금융·통신주 탄력 받는다,경제
59,59,2024.10.13. 오후 6:53,파이낸셜뉴스,파업 한달 美보잉… 직원 10% 줄인다,경제
60,60,2024.10.13. 오후 6:51,파이낸셜뉴스,가계대출 1兆 넘길라… 금융당국 제2금융권 긴급소집,경제
0,0,2024.10.14. 오후 11:01,한국경제,美증시 실적시즌 본격화…S&P500; 또 사상최고치 출발,경제
1,1,2024.10.14. 오후 10:40,이데일리,"[포토] 푸마, 축구화 라인업 ‘라이츠 아웃’ 팩 론칭",경제
2,2,2024.10.14. 오후 10:25,조선비즈,‘9억대 한강뷰’ 수방사 부지 공공분양 특별공급 경쟁률 557대 1,경제
3,3,2024.10.14. 오후 10:23,매일경제,서울 강남 등 중소형 빌딩 매각설명회 10월 23일 개최,경제
4,4,2024.10.14. 오후 10:17,이데일리,[포토] 농협 옛날 누룽지,경제
5,5,2024.10.14. 오후 10:15,매일경제,‘쿵’ 넘어진 55m 사다리차…23층 이삿짐 옮기다 어린이집 건물 덮쳐,경제
6,6,2024.10.14. 오후 10:14,조선비즈,[2024 노벨상] ‘국가는 왜 실패하는가’ 저자 등 美학자 노벨경제학상… 역대 수상자는,경제
7,7,2024.10.14. 오후 10:08,이데일리,"보잉, 파업 한 달만에 6.8조원 손실 봤다",경제
8,8,2024.10.14. 오후 10:08,한겨레,노벨경제학상에 ‘국가 간 성장의 차이’ 연구한 3인,경제
9,9,2024.10.14. 오후 10:05,한국경제,"OPEC, 올해와 내년 석유 수요 전망 또 다시 낮춰",경제
10,10,2024.10.14. 오후 9:53,조선비즈,[2024 노벨상] 경제학상 수상자 “민주주의 힘든 시기… 그래도 더 나은 체제 이어가야”,경제
11,11,2024.10.14. 오후 9:39,TV조선,자율주행 믿었다간 '큰 코'…멈춰 있는 물체 인식 못하고 '꽝',경제
12,12,2024.10.14. 오후 9:39,한경비즈니스,"‘지지율 정체’ 해리스, 바이든과 대선 앞두고 분열?",경제
13,13,2024.10.14. 오후 9:37,TV조선,[단독] K-2전차 변속기 '성능 미달'인데…국산화 강행 논란,경제
14,14,2024.10.14. 오후 9:35,한국경제,"노벨경제학상 수상자 ""민주주의, 만병통치약 아니지만 경제엔 더 이롭다""",경제
15,15,2024.10.14. 오후 9:34,매일경제,서점업·LPG연료 소매업 ‘소상공인 생계형 적합업종’ 재지정,경제
16,16,2024.10.14. 오후 9:33,매일경제,“장사 망쳐야 수수료 깎아준다고?…말로만 상생 외치는 배달앱,경제
17,17,2024.10.14. 오후 9:31,한국경제,"""하늘길 '출국'만 열렸나""…여행수지 적자 행진 언제까지?",경제
18,18,2024.10.14. 오후 9:27,파이낸셜뉴스,"""포용적 제도가 번영 이끈다"" 한반도 상황을 분석 틀로 인용 [노벨경제학상 공동수상 3인]",경제
19,19,2024.10.14. 오후 9:24,파이낸셜뉴스,"MBK, 의결권 기준 48% 확보… 주총까지 장기전 전망 [고려아연 분쟁 장기화]",경제
20,20,2024.10.14. 오후 9:23,이데일리,시니어케어 힘주는 교보생명…고령·유병자도 문턱 낮춰,경제
21,21,2024.10.14. 오후 9:08,매일경제,"[2024 노벨상] 로빈슨 ""한국의 제도는 전세계 모범"" 존슨 ""포용적 민주주의가 성장 기여""",경제
22,22,2024.10.14. 오후 9:08,매일경제,[2024 노벨상] 실패국가 원인 밝힌 애쓰모글루…세계지식포럼과 12년 인연,경제
23,23,2024.10.14. 오후 9:06,경향신문,"영풍·MBK, 고려아연 지분 5.34% 추가",경제
24,24,2024.10.14. 오후 9:06,이데일리,OPEC “내년 전세계 원유 수요 1.6% 증가할 것”,경제
25,25,2024.10.14. 오후 9:00,경향신문,"유네스코 향해 “비빔, 빔, 비빔”",경제
26,26,2024.10.14. 오후 9:00,경향신문,‘용적률’에…전국 최대 아파트 리모델링 제동,경제
27,27,2024.10.14. 오후 9:00,경향신문,"인천시, 제4경인고속화도로 재추진",경제
28,28,2024.10.14. 오후 8:59,파이낸셜뉴스,"BNK경남은행, 외국인 근로자에 '외국인 신용대출’ 출시",경제
29,29,2024.10.14. 오후 8:56,매일경제,[2024 노벨상] 노벨경제학상에 애쓰모글루 등 3인,경제
30,30,2024.10.14. 오후 8:56,매일경제,"MBK·영풍, 5.34% 확보 고려아연 분쟁 기선제압",경제
31,31,2024.10.14. 오후 8:50,조선비즈,[2024 노벨상] 노벨상 아닌 노벨 경제학상… 메달 모양 다른 이유는,경제
32,32,2024.10.14. 오후 8:49,조선비즈,[2024 노벨상] ‘부국과 빈국의 차이는 어디서 오는가’… 노벨위원회가 인정한 세 교수의 연구,경제
33,33,2024.10.14. 오후 8:48,파이낸셜뉴스,"iM뱅크, 2024년 ‘리테일금융직’ 권역별 채용",경제
34,34,2024.10.14. 오후 8:48,한국경제,노벨 경제학상에 '국가간 불평등' 연구 아제모을루 등 3인 [종합],경제
35,35,2024.10.14. 오후 8:47,이데일리,시니어 사업 생태계 구축하는 신한라이프…내년 하반기 첫 요양시설 개소,경제
36,36,2024.10.14. 오후 8:44,경향신문,노벨 경제학상 ‘국가 간 빈부차 규명한 학자들’,경제
37,37,2024.10.14. 오후 8:43,경향신문,초과 지급 근로장려금 거둔다…16만가구 평균 35만원 내야,경제
38,38,2024.10.14. 오후 8:41,중앙일보,노벨 경제학상 '국가간 불평등' 연구한 아제모을루 등 美교수 3인,경제
39,39,2024.10.14. 오후 8:40,파이낸셜뉴스,"신협, 10년 간 46억 규모 난방용품 후원",경제
40,40,2024.10.14. 오후 8:36,한국경제,"""韓 포용, 北 착취…정치·경제제도가 빈부 갈랐다""",경제
41,41,2024.10.14. 오후 8:33,한국경제,최근 노벨경제학상 수상자는 벤 버냉키·클로디아 골딘…美경제학자가 賞 휩쓸어,경제
42,42,2024.10.14. 오후 8:33,매일경제,고려아연 적극 재반격 예상 … 주총서 치열한 표대결 펼칠 듯,경제
43,43,2024.10.14. 오후 8:31,한국경제,'국가 富의 격차' 원인 밝혔다…노벨경제학상 3人 공동수상,경제
0,0,2024.10.15. 오후 11:23,매일경제,"“요즘 뜯어고치는 게 대세”…목동·송파 낡은 단지들, 새 아파트로 변신중",경제
1,1,2024.10.15. 오후 11:21,매일경제,"“대체 공장에 이게 왜 필요해?”…허물고 부쉈더니, 놀라운 효과가",경제
2,2,2024.10.15. 오후 11:14,한국경제,"美증시,제조업 부진 소식에 하락 전환",경제
3,3,2024.10.15. 오후 10:45,한국경제,국내기업 실적 전망 줄하향…반도체 이어 화학·전장도 '울상',경제
4,4,2024.10.15. 오후 10:41,한경비즈니스,"대명소노그룹, 에어프레미아 2대 주주로…항공업 진출 속도",경제
5,5,2024.10.15. 오후 10:40,이데일리,"美 정부, 자국 반도체업체 '울프스피드'에 1조원 보조금",경제
6,6,2024.10.15. 오후 10:25,한국경제,"미국 경제학자들 ""美 경제전반에 해리스가 좀 더 도움""",경제
7,7,2024.10.15. 오후 10:22,파이낸셜뉴스,"리벨리온, 삼성전자·ARM과 맞손…""고성능 AI CPU 칩렛 플랫폼 개발""",IT
8,8,2024.10.15. 오후 10:22,한겨레,"정부, 디딤돌 대출도 죈다…LTV 한도 꽉 채워 못 받아",경제
9,9,2024.10.15. 오후 10:05,한국경제,법률 AI 서비스 '슈퍼로이어'에 국내 변호사 12% 가입 [고은이의 스타트업 데이터],경제
10,10,2024.10.15. 오후 10:02,한국경제,"리벨리온, 英 ARM과 차세대 AI칩 협력",IT
11,11,2024.10.15. 오후 10:01,한국경제,"리벨리온, 영국 ARM·삼성전자와 차세대 AI 칩렛 플랫폼 개발",경제
12,12,2024.10.15. 오후 10:01,매일경제,"리벨리온, 삼성전자·ARM·에이디테크 ‘AI 칩렛 플랫폼’ 개발 추진",IT
13,13,2024.10.15. 오후 10:00,이데일리,"여러 반도체를 하나로…리벨리온, Arm·삼성전자·에이디테크놀로지와 ‘칩렛’ 협력",IT
14,14,2024.10.15. 오후 9:59,파이낸셜뉴스,"정인섭 한화오션 사장 ""안전 관리에 3년간 2兆 투자""",경제
15,15,2024.10.15. 오후 9:51,파이낸셜뉴스,"국감서 뉴진스 하니와 셀카 논란… 한화오션 ""부적절한 행동 깊이 사과""",경제
16,16,2024.10.15. 오후 9:48,한경비즈니스,"베트남 총리 만난 조현준 ""효성, 5조 이상 추가 투자""",경제
17,17,2024.10.15. 오후 9:42,한겨레,"LG엔솔, 포드와 차량 122만대분 배터리 공급계약",경제
18,18,2024.10.15. 오후 9:38,한겨레,"현대엔지니어링, 세르비아서 2조원대 태양광 발전소 수주…역대 최대",경제
19,19,2024.10.15. 오후 9:33,TV조선,"""가격은 싼데""…'수수료 갈등' 대안 떠오른 공공배달앱, 직접 써보니",경제
20,20,2024.10.15. 오후 9:29,파이낸셜뉴스,‘한강뷰’ 수방사 부지 일반분양 경쟁률 1148대 1,경제
21,21,2024.10.15. 오후 9:28,조선일보,"국감장 불려나온 한화오션 사장, 뉴진스 하니와 ‘미소 셀카’",경제
22,22,2024.10.15. 오후 9:27,TV조선,"[단독] ""종부세 못 내"" 조세 불복 5년새 93배 폭증…세금 환급 1조 돌파",경제
23,23,2024.10.15. 오후 9:23,경향신문,"한화그룹, 시각장애인을 위한 ‘2025년 점자 달력’ 4만부 무료 배포 계획[포토뉴스]",경제
24,24,2024.10.15. 오후 9:22,경향신문,‘블랙먼데이’가 폭로한 한국 증시 취약성,경제
25,25,2024.10.15. 오후 9:22,경향신문,서울·수도권 아파트값 상승세 지속,경제
26,26,2024.10.15. 오후 9:22,경향신문,"표류하던 가덕도신공항 첫 삽 뜨나…현대건설 컨소시엄, 시공사 도전장",경제
27,27,2024.10.15. 오후 9:22,경향신문,품절 과자 원조 ‘허니버터칩’ 출시 10년,경제
28,28,2024.10.15. 오후 9:20,한국경제,"넷플릭스 ""3분기 가입자 증가폭 감소 전망""",경제
29,29,2024.10.15. 오후 9:19,이데일리,"한화오션 ""국감서 임원 '하니 셀카' 부적절…깊이 사과""",경제
30,30,2024.10.15. 오후 8:51,파이낸셜뉴스,"2금융권도 주담대 고삐 조이나..금융당국, 관리 강화 '주문'",경제
31,31,2024.10.15. 오후 8:48,매일경제,“대출 뺑뺑이 돌다가 접었어요”…앞으론 이곳까지 까다로워진다는데,경제
32,32,2024.10.15. 오후 8:46,경향신문,"KT, 전체 직원의 30% 구조조정…노조 “아현 사태 교훈 삼아야”",경제
33,33,2024.10.15. 오후 8:45,경향신문,"너, 설마…사람이었니?",경제
34,34,2024.10.15. 오후 8:45,경향신문,"환갑 다 된 산림청 헬기, 안전할까",경제
35,35,2024.10.15. 오후 8:44,한국경제,"BofA서베이 ""10월 투자자 낙관론 팬데믹이후 최대 상승""",경제
36,36,2024.10.15. 오후 8:43,경향신문,"소방헬기 추락 보험금 지연 이자 100억원…정부·보험사 분쟁, 당국 누구 손 들어주나",경제
37,37,2024.10.15. 오후 8:43,경향신문,편의점 업계에도 칼바람…세븐일레븐 첫 희망퇴직,경제
38,38,2024.10.15. 오후 8:26,매일경제,"‘공모가 희망범위 하단’ HNS하이텍, 일반청약 경쟁률 133.8대1",경제
39,39,2024.10.15. 오후 8:16,한국경제TV,"스타링크 韓 서비스 내년 시동…정부, 행정예고",경제
40,40,2024.10.15. 오후 8:14,경향신문,"부천시, 횡단보도서 ‘스마트폰 차단 시스템’ 도입",경제
0,0,2024.10.16. 오후 11:04,매일경제,"“길거리 나앉았던 사람들 결국”…말 많은 이 숙박시설, 살 길 찾았다",경제
1,1,2024.10.16. 오후 10:23,한국경제,"IEA""데이터센터,에어컨 등 2050년까지 세계 전기수요 두 배로""",경제
2,2,2024.10.16. 오후 9:50,한국경제,"모건스탠리,투자은행사업 활황에 3분기 실적 호조",경제
3,3,2024.10.16. 오후 9:41,매일경제,"한화정밀, SK하이닉스 HBM TC본더 퀄테스트 통과 못해",경제
4,4,2024.10.16. 오후 9:36,경향신문,신림5구역 34층 아파트 세운다,경제
5,5,2024.10.16. 오후 9:36,TV조선,파리모터쇼 점령한 中 전기차…유럽도 저가차로 맞불,경제
6,6,2024.10.16. 오후 9:34,경향신문,“최소 35억배럴” 해외기업 앞에선 작아진 ‘대왕고래’,경제
7,7,2024.10.16. 오후 9:32,TV조선,자동차 페달 잘못 밟아 '꽝'…4명 중 1명은 고령층,경제
8,8,2024.10.16. 오후 9:22,TV조선,"""김장철 배춧값 사상 첫 5300원 예상""…'김장대란' 오나",경제
9,9,2024.10.16. 오후 9:08,이데일리,"“내집마련, 저 멀리”…‘디딤돌 대출’ 금리인상에 한도도 ‘뚝’",경제
10,10,2024.10.16. 오후 9:01,한국경제,"ASML 제치고…독일 SW회사 SAP, 유럽 최대 기술기업 부상",경제
11,11,2024.10.16. 오후 9:00,이데일리,"[마켓인]LS에코, 베트남법인 폭풍성장에 배당수익 2배 늘었다",경제
12,12,2024.10.16. 오후 9:00,중앙일보,“당장 10억 쥐려면 무조건 여기” 강남 3인방 청약 꿀팁,경제
13,13,2024.10.16. 오후 8:56,이데일리,美 알츠하이머 대가 국내 방한...뉴로핏서 최신 연구결과 발표,경제
14,14,2024.10.16. 오후 8:56,조선비즈,롯데칠성 “2028년 매출 5조5000억원 목표… 해외 매출 절반 수준으로”,경제
15,15,2024.10.16. 오후 8:54,동아일보,"정부, 서민 위한 ‘디딤돌 대출’ 한도마저 줄인다",경제
16,16,2024.10.16. 오후 8:48,매일경제,"연봉 1.5억, 직원수 1위...‘꿈의 직장’마저 피하지 못한 ‘칼바람’ 겁나네",경제
17,17,2024.10.16. 오후 8:40,매일경제,"“불법 행위 없어, 경영 복귀 허락해 달라”…카카오 김범수, 억울함 호소",경제
18,18,2024.10.16. 오후 8:39,경향신문,"장인화 포스코그룹 회장, 세계철강협회 집행위원",경제
